scenario_id,team,group,elo,knockout_initial_elo,knockout_initial_elos_source,reach_r32,reach_r32_ci_low,reach_r32_ci_high,reach_r32_count,reach_r16,reach_r16_ci_low,reach_r16_ci_high,reach_r16_count,reach_qf,reach_qf_ci_low,reach_qf_ci_high,reach_qf_count,reach_sf,reach_sf_ci_low,reach_sf_ci_high,reach_sf_count,reach_final,reach_final_ci_low,reach_final_ci_high,reach_final_count,runner_up,runner_up_ci_low,runner_up_ci_high,runner_up_count,third_place,third_place_ci_low,third_place_ci_high,third_place_count,champion,champion_ci_low,champion_ci_high,champion_count
C01,Egypt,G,1730.0,1730.7097416345644,unconditional_group_terminal_mean_n=100000,1.0,0.999961586887417,1.0,100000,0.39219,0.3891681175506541,0.3952201650846811,39219,0.14974,0.14754192589810303,0.15196498325552368,14974,0.05875,0.05730939278855232,0.06022450678330221,5875,0.02452,0.023579553037789237,0.025496976295752736,2452,0.01479,0.014060257050118324,0.015557019802594512,1479,0.0141,0.01338768178784158,0.014849648074966621,1410,0.00973,0.009140164102835207,0.010357501490576971,973
C01,Tunisia,F,1648.0,1661.98961550791,unconditional_group_terminal_mean_n=100000,1.0,0.999961586887417,1.0,100000,0.2747,0.271942158496717,0.27747515045181304,27470,0.09527,0.09346587465838352,0.09710521921972795,9527,0.03743,0.03627120529424253,0.038624332212732544,3743,0.01393,0.013222042661508032,0.014675300261758447,1393,0.00804,0.007505078733847773,0.008612716695884936,804,0.00953,0.00894639279436243,0.010151288164294782,953,0.00589,0.0054343427008024855,0.006383617905314328,589
C01,South Africa,A,1556.0,1575.4395618457768,unconditional_group_terminal_mean_n=100000,0.0,0.0,3.841311258303962e-05,0,0.0,0.0,3.841311258303962e-05,0,0.0,0.0,3.841311258303962e-05,0,0.0,0.0,3.841311258303962e-05,0,0.0,0.0,3.841311258303962e-05,0,0.0,0.0,3.841311258303962e-05,0,0.0,0.0,3.841311258303962e-05,0,0.0,0.0,3.841311258303962e-05,0
C01,Czech Republic,A,1715.0,1718.2777702933474,unconditional_group_terminal_mean_n=100000,0.0,0.0,3.841311258303962e-05,0,0.0,0.0,3.841311258303962e-05,0,0.0,0.0,3.841311258303962e-05,0,0.0,0.0,3.841311258303962e-05,0,0.0,0.0,3.841311258303962e-05,0,0.0,0.0,3.841311258303962e-05,0,0.0,0.0,3.841311258303962e-05,0,0.0,0.0,3.841311258303962e-05,0
C01,Bosnia and Herzegovina,B,1637.0,1642.7612243955946,unconditional_group_terminal_mean_n=100000,0.0,0.0,3.841311258303962e-05,0,0.0,0.0,3.841311258303962e-05,0,0.0,0.0,3.841311258303962e-05,0,0.0,0.0,3.841311258303962e-05,0,0.0,0.0,3.841311258303962e-05,0,0.0,0.0,3.841311258303962e-05,0,0.0,0.0,3.841311258303962e-05,0,0.0,0.0,3.841311258303962e-05,0
C01,Qatar,B,1379.0,1402.5467046964077,unconditional_group_terminal_mean_n=100000,0.0,0.0,3.841311258303962e-05,0,0.0,0.0,3.841311258303962e-05,0,0.0,0.0,3.841311258303962e-05,0,0.0,0.0,3.841311258303962e-05,0,0.0,0.0,3.841311258303962e-05,0,0.0,0.0,3.841311258303962e-05,0,0.0,0.0,3.841311258303962e-05,0,0.0,0.0,3.841311258303962e-05,0
C01,Haiti,C,1549.0,1573.6878329547135,unconditional_group_terminal_mean_n=100000,0.0,0.0,3.841311258303962e-05,0,0.0,0.0,3.841311258303962e-05,0,0.0,0.0,3.841311258303962e-05,0,0.0,0.0,3.841311258303962e-05,0,0.0,0.0,3.841311258303962e-05,0,0.0,0.0,3.841311258303962e-05,0,0.0,0.0,3.841311258303962e-05,0,0.0,0.0,3.841311258303962e-05,0
C01,Australia,D,1791.0,1797.0550767639204,unconditional_group_terminal_mean_n=100000,0.0,0.0,3.841311258303962e-05,0,0.0,0.0,3.841311258303962e-05,0,0.0,0.0,3.841311258303962e-05,0,0.0,0.0,3.841311258303962e-05,0,0.0,0.0,3.841311258303962e-05,0,0.0,0.0,3.841311258303962e-05,0,0.0,0.0,3.841311258303962e-05,0,0.0,0.0,3.841311258303962e-05,0
C01,Curaçao,E,1542.0,1567.5268830504206,unconditional_group_terminal_mean_n=100000,0.0,0.0,3.841311258303962e-05,0,0.0,0.0,3.841311258303962e-05,0,0.0,0.0,3.841311258303962e-05,0,0.0,0.0,3.841311258303962e-05,0,0.0,0.0,3.841311258303962e-05,0,0.0,0.0,3.841311258303962e-05,0,0.0,0.0,3.841311258303962e-05,0,0.0,0.0,3.841311258303962e-05,0
C01,Sweden,F,1631.0,1648.3173899527412,unconditional_group_terminal_mean_n=100000,0.0,0.0,3.841311258303962e-05,0,0.0,0.0,3.841311258303962e-05,0,0.0,0.0,3.841311258303962e-05,0,0.0,0.0,3.841311258303962e-05,0,0.0,0.0,3.841311258303962e-05,0,0.0,0.0,3.841311258303962e-05,0,0.0,0.0,3.841311258303962e-05,0,0.0,0.0,3.841311258303962e-05,0
C01,New Zealand,G,1499.0,1523.0497684874904,unconditional_group_terminal_mean_n=100000,0.0,0.0,3.841311258303962e-05,0,0.0,0.0,3.841311258303962e-05,0,0.0,0.0,3.841311258303962e-05,0,0.0,0.0,3.841311258303962e-05,0,0.0,0.0,3.841311258303962e-05,0,0.0,0.0,3.841311258303962e-05,0,0.0,0.0,3.841311258303962e-05,0,0.0,0.0,3.841311258303962e-05,0
C01,Cape Verde,H,1594.0,1608.0346854092775,unconditional_group_terminal_mean_n=100000,0.0,0.0,3.841311258303962e-05,0,0.0,0.0,3.841311258303962e-05,0,0.0,0.0,3.841311258303962e-05,0,0.0,0.0,3.841311258303962e-05,0,0.0,0.0,3.841311258303962e-05,0,0.0,0.0,3.841311258303962e-05,0,0.0,0.0,3.841311258303962e-05,0,0.0,0.0,3.841311258303962e-05,0
C01,Saudi Arabia,H,1583.0,1598.5913471719261,unconditional_group_terminal_mean_n=100000,0.0,0.0,3.841311258303962e-05,0,0.0,0.0,3.841311258303962e-05,0,0.0,0.0,3.841311258303962e-05,0,0.0,0.0,3.841311258303962e-05,0,0.0,0.0,3.841311258303962e-05,0,0.0,0.0,3.841311258303962e-05,0,0.0,0.0,3.841311258303962e-05,0,0.0,0.0,3.841311258303962e-05,0
C01,Iraq,I,1692.0,1714.2157728770703,unconditional_group_terminal_mean_n=100000,0.0,0.0,3.841311258303962e-05,0,0.0,0.0,3.841311258303962e-05,0,0.0,0.0,3.841311258303962e-05,0,0.0,0.0,3.841311258303962e-05,0,0.0,0.0,3.841311258303962e-05,0,0.0,0.0,3.841311258303962e-05,0,0.0,0.0,3.841311258303962e-05,0,0.0,0.0,3.841311258303962e-05,0
C01,Algeria,J,1800.0,1803.3401335779843,unconditional_group_terminal_mean_n=100000,0.0,0.0,3.841311258303962e-05,0,0.0,0.0,3.841311258303962e-05,0,0.0,0.0,3.841311258303962e-05,0,0.0,0.0,3.841311258303962e-05,0,0.0,0.0,3.841311258303962e-05,0,0.0,0.0,3.841311258303962e-05,0,0.0,0.0,3.841311258303962e-05,0,0.0,0.0,3.841311258303962e-05,0
